movie_id,title,year,length,age_guide,description,poster,trailer_url,is_deleted,is_in_cinema,is_coming_soon,genre,language,director,writer,actors,keywords
18,Four Rooms,1995,1h 38min,R,movie features collaborative directorial efforts four new filmmakers directs segment comedy year eve mon signor hotel former grand old hollywood fallen upon hard times often using physical sight gags chronicles slapstick misadventures ted bellhop first night job asked help coven witches honeymoon suite things get worse delivers ice wrong room ends domestic argument really bad time next foolishly agrees watch gangster kids away finally finishes refereeing ghastly wager,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://www.youtube.com/embed/S_Pd2pGkq54,False,False,False,Comedy,English,AlfonsoArau AlanZaslove RobertMulligan,AllisonAnders RobertRodriguez AlexandreRockwell,ValeriaGolino TimRoth AntonioBanderas SammiDavis AmandaDeCadenet,"This movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel, a former grand old Hollywood hotel, now fallen upon hard times. Often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of Ted, the Bellhop. He's on his first night on the job, when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next, he foolishly agrees to watch a gangster's kids for him while he's away. Finally, he finishes off the night refereeing a ghastly wager."
101,If Lucy Fell,1996,1h 32min,R,joe lucy roommates best friends whose love life embarrassingly dull convinces infatuated neighbor never met stable romances within month must jump brooklyn bridge,https://m.media-amazon.com/images/M/MV5BMTgwNzUyNDkwOF5BMl5BanBnXkFtZTcwMDc0MDEyMQ@@._V1_.jpg,https://www.youtube.com/embed/TNTV9Txit-Q,False,False,False,Romance Comedy,English,EmirKusturica,TonySpiridakis EricSchaeffer,JamesRebhorn BenStiller ElleMacpherson SarahJessicaParker EricSchaeffer,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge."
20,Money Train,1995,1h 50min,R,two foster brothers work transit cops one life good gets pit losing job getting dumped brother crap kicked loan shark umpteenth time implements plan steal money train carrying new york subway weekly revenue things go awry able save,https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://www.youtube.com/embed/5Odo80-WFgM,False,False,False,Action Comedy Drama Thriller Crime,English,JosephBarbera,DougRichardson DavidLoughery,ChrisCooper WesleySnipes WoodyHarrelson JenniferLopez RobertBlake,"Two foster brothers work as transit cops. While one's life is as good as it gets, the other's is a pit. After losing his job, getting dumped by his brother, and getting the crap kicked out of him by a loan shark for the umpteenth time, He implements his plan to steal the money train, a train carrying the New York Subway's weekly revenue. But when things go awry, will his brother be able to save him in time?"
21,Get Shorty,1995,1h 45min,R,guys get luck whether like chili palmer happens hollywood collecting gambling debt struck lightning literally . called natural movie business snagged producer rest history,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_.jpg,https://www.youtube.com/embed/yvsnu3crV8g,False,False,False,Crime Thriller Comedy,English,ArthurPenn,ElmoreLeonard ScottFrank,DannyDeVito JohnTravolta GeneHackman ReneRusso DennisFarina,"Some guys get all the luck, whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business, he's snagged up by a producer. The rest is history."
22,Copycat,1995,2h 3min,R,san francisco criminal psychologist helen hudson specialized serial killers trial accused daryll lee cullum kills police officer tries kill becomes agoraphobic lives reclusive life gay friend andy helps sometime later wave crimes detectives j monahan reuben goetz investigating murder cases identifies murderer copycatting notorious anonymously contacts department fourteen phone calls identified visit teams prepares profile killer wants famous soon copycat peter foley stalks give protection capable stop next,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_.jpg,https://www.youtube.com/embed/lsmXhM4yfU0,False,False,False,Mystery Drama Thriller,English,JohnTurturro,AnnBiderman DavidMadsen,WilliamMcNamara DermotMulroney HarryConnickJr. SigourneyWeaver HollyHunter,"In San Francisco, the criminal psychologist Helen Hudson is specialized in serial-killers. During a trial, the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later, there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls, she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder?"
24,Powder,1995,1h 51min,PG-13,sheriff barnum investigates death elderly rural resident discovers teenage grandson living basement raised grandparents experienced world books never leaving family farm sent state home boys trouble fitting socially odd appearance unusual abilities cause small town residents fear ridicule however afraid begin view potential gifts wonderment,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,https://www.youtube.com/embed/dM1jktXwcSI,False,False,False,Drama Sci-Fi Mystery Thriller Fantasy,English,VictorSalva,VictorSalva,MarySteenburgen SeanPatrickFlanery LanceHenriksen JeffGoldblum BrandonSmith,"When sheriff Barnum investigates the death of an elderly rural resident, he discovers a teenage grandson living in the basement. Raised by his grandparents, he has experienced the world only through books, never leaving the family farm. He is sent to a state home for boys where he has trouble fitting in socially. His odd appearance and unusual abilities cause the small town residents to fear and ridicule him. However, not all are afraid. Some begin to view his potential and gifts with wonderment."
25,Leaving Las Vegas,1995,1h 51min,R,wife left took son screenwriter ben sanderson started drinking lot getting isolated troubles women bars wants sex gets fired decides leave everything behind move las vegas drink death meets sera prostitute problems well moves,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_.jpg,https://www.youtube.com/embed/UMlYWZgCIgo,False,False,False,Romance Drama,Russian English,MickGarris,JohnOBrien MikeFiggis,StevenWeber JulianSands RichardLewis NicolasCage ElisabethShue,"Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with."
26,Now and Then,1995,1h 40min,PG-13,four childhood friends thirties reunion lives gone separate different ways together reminisce younger years especially eventful period 12 old,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_.jpg,https://www.youtube.com/embed/RQLVzTtt2Ws,False,False,False,Romance Drama Comedy,English,LeonardNimoy,I.MarleneKing,ChristinaRicci DemiMoore RosieODonnell ThoraBirch MelanieGriffith,"Four childhood friends, now in their thirties, are having a reunion. Their lives have gone separate and very different ways. Together again they reminisce about their younger years, especially the eventful period when they were 12 years old."
27,Persuasion,1995,1h 47min,PG,eight years ago anne elliot rejected frederick wentworth man loved sense duty obedience ignored faded spinster follows financially stricken family home reintroduced successful wealthy captain roles reversed eligible bachelor navigates scheming society still tries keep apart,https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_.jpg,https://www.youtube.com/embed/u4T5dl1isp8,False,False,False,Drama,English,RogerDonaldson,NickDear JaneAusten,AmandaRoot CiaránHinds SusanFleetwood CorinRedgrave FionaShaw,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduced to the now successful and wealthy Captain Frederick Wentworth. With their roles reversed and Captain Wentworth the eligible and wealthy bachelor, Anne navigates the scheming society that still tries to keep them apart."
28,La cité des enfants perdus,1995,1h 52min,R,set dystopian society someone kidnapping children krank band clones using harvest dreams kidnap denree brother one fairground strongman sets find,https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://www.youtube.com/embed/F-F3Fz6DadE,False,False,False,Fantasy Sci-Fi,Cantonese French,MajidMajidi Jean-LucGodard,GillesAdrien Jean-PierreJeunet MarcCaro,Jean-ClaudeDreyfus DominiquePinon DanielEmilfork RonPerlman JudithVittet,"Set in a dystopian society, someone is kidnapping the children. Krank and his band of clones are using the children to harvest their dreams. Then they kidnap Denree, the brother of One, a fairground strongman. One sets out to find his brother."
29,"Yao a yao, yao dao wai po qiao",1995,1h 48min,R,uncle liu brings cousin shanghai work boss  ' leader powerful drug empire 1930 shuisheng simple country boy awed overwhelmed opulence immense wealth suddenly surrounded attendant xiao jingbao new mistress .' fumbles demands role much intrigue going around well beyond bewildered perception tumultuous affair fat yu starting gang war beginning suspect one trusted men loyal,https://m.media-amazon.com/images/M/MV5BODgzNGQyNjEtYTU0My00ZGY2LTg4Y2MtMWNiY2QyZGE1MGRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg,https://www.youtube.com/embed/xgIHRczRE1Q,False,False,False,History Thriller Drama Romance Crime,Mandarin,YimouZhang,LiXiao FeiyuBi,GongLi Liu,"Uncle Liu brings his cousin to Shanghai to work for 'Boss,' the leader of a powerful drug empire in the 1930's. Shuisheng, a simple country boy is awed and overwhelmed by the opulence and immense wealth he is suddenly surrounded by. He is to be the attendant of Xiao Jingbao, the new mistress of 'Boss.' While he fumbles with the demands of his new role, much intrigue is going on around him, well beyond his bewildered perception. Xiao Jingbao is having a tumultuous affair, Fat Yu is starting a gang war, and 'Boss' is beginning to suspect that one of his trusted men is not loyal."
