,movie_id,actor_id,role
98,24,114,Donald Ripley
99,24,115,Deputy Harley Duncan
100,25,59,Marc Nussbaum
101,25,118,Yuri
102,25,119,Peter
103,25,116,Ben Sanderson
104,25,117,Sera
105,26,120,Roberta Martin
106,26,121,Samantha Albertson
107,26,122,Roberta Martin
108,26,123,Tina Teeny Tercell
109,26,124,Tina Teeny Tercell
110,27,125,Anne Elliot
111,27,126,Captain Wentworth
112,27,127,Lady Russell
113,27,128,Sir Walter Elliot
114,27,129,Mrs. Croft
115,28,134,Marcello
116,28,133,Le scaphandrier
117,28,131,Krank
118,28,130,One
119,28,132,Miette
120,29,135,Xiao Jingbao
121,29,136,6th Uncle
122,30,137,Louanne Johnson
123,30,138,Hal Griffith
124,30,139,Mr. George Grandey
125,30,140,Mrs. Carla Nichols
126,30,141,Mary Benton
127,31,146,Jose
128,31,144,Jeffrey Goines
129,31,145,Young Cole
130,31,142,James Cole
131,31,143,Kathryn Railly
132,32,147,Farmer Hoggett
133,32,148,Esme Hoggett
134,32,149,Babe
135,32,150,Fly
136,32,151,Ferdinand
137,33,77,Dora Carrington
138,33,152,Lytton Strachey
139,33,153,Ralph Partridge
140,33,154,Gerald Brenan
141,33,155,Mark Gertler
142,34,43,Earl Delacroix
143,34,159,Clyde Percy
144,34,157,Matthew Poncelet
145,34,156,Sister Helen Prejean
146,34,158,Hilton Barber
147,35,160,Diane Barrows
148,35,161,Roger Callaway
149,35,162,Amanda Lemmon
150,35,163,Alyssa Callaway
151,35,164,Vincenzo
152,36,168,Josh
153,36,167,Tai
154,36,169,Murray
155,36,165,Cher
156,36,166,Dionne
157,37,170,James Jarvis
158,37,171,Rev. Stephen Kumalo
159,37,172,Theophilus Msimangu
160,37,173,John Kumalo
161,37,174,Child
162,38,175,Richard III - Duke of Gloucester
163,38,52,Queen Elizabeth
164,38,176,Prince Edward of Lancaster
165,38,177,King Henry VI
166,38,178,Ratcliffe
167,39,182,Jose
168,39,181,Skip
169,39,183,Juanita Benson
170,39,179,Anthony Curtis
171,39,180,Kirby
172,40,184,Merivel
173,40,185,The King
174,40,186,Pearce
175,40,187,Celia
176,40,188,Katharine
177,41,189,Lord Raiden
178,41,190,Liu Kang
179,41,191,Johnny Cage
180,41,192,Shang Tsung
181,41,193,Sonya Blade
182,42,198,Janice Maretto
183,42,197,Russel Hines
184,42,196,Jimmy Emmett
185,42,194,Suzanne Stone
186,42,195,Larry Maretto
187,43,199,Finn
188,43,200,Hy
189,43,201,Glady Joe
190,43,202,Young Finn
191,43,203,Young Finn
192,44,204,Somerset
193,44,144,Mills
194,44,205,John Doe
195,44,206,Dead Man at 1st Crime Scene
196,44,207,Detective Taylor at First Murder
197,45,212,Pocahontas
198,45,211,Lon
199,45,210,Thomas
200,45,209,Grandmother Willow
201,45,208,John Smith
202,46,213,Camille Baker
203,46,214,Petra Soft
204,46,215,Martin
205,46,216,Reverend DeBoer
206,46,217,Timothy
207,47,220,McManus
208,47,219,Dave Kujan
209,47,221,Fenster
210,47,205,Verbal
211,47,218,Keaton
212,48,222,Lenny
213,48,223,Linda Ash
214,48,224,Greek Chorus
215,48,225,Greek Chorus
216,48,226,Greek Chorus
217,49,161,Sheriff Tom Palmer
218,49,227,Miss Anna Montgomery
219,49,228,Coach Jay Huffer
220,49,229,Edwin V. Douglas
221,49,230,Evan Schiff
222,50,234,Axel Goldman
223,50,233,Jake
224,50,235,Bobby
225,50,231,Sadie Flood
226,50,232,Georgia Flood
227,51,103,Claudia Larson
228,51,201,Adele Larson
229,51,184,Tommy Larson
230,51,236,Henry Larson
231,51,237,Leo Fish
232,52,238,Mario Ruoppolo
233,52,239,Pablo Neruda
234,52,240,Beatrice Russo
235,52,241,Telegrapher
236,52,242,Donna Rosa
237,53,247,Alfred Hitchcock
238,53,246,Lassistante de Hitchcock
239,53,245,Raymond Massicotte
240,53,243,Pierre Lamontagne
241,53,244,Marc Lamontagne
242,54,248,Omri
243,54,249,Little Bear
244,54,250,Jane
245,54,251,Victor
246,54,252,Patrick
247,55,253,Karen McCann
248,55,254,Robert Doob
249,55,68,Mack McCann
250,55,255,Julie McCann
251,55,256,Megan McCann
252,56,261,Vice Principal Wolters
253,56,260,Principal Jacobs
254,56,259,Bill Meister
255,56,258,Iris Holland
256,56,257,Glenn Holland
257,57,262,Ashtray
258,57,263,Loc Dog
259,57,264,Mailman
260,57,265,Dashiki
261,57,266,Preach
262,58,270,FBI Agent OMalley
263,58,269,Evan Marsh
264,58,271,Fitzie
265,58,267,Roz
266,58,268,Francis Frank OBrien
267,59,272,Bud Macintosh
268,59,220,Doyle Johnson
269,59,273,Dr. Noah Faulkner
270,59,274,Olivia Biggs
271,59,275,Mimi Simkins
272,60,276,Dr. Benjamin Trace
273,60,277,Jobe Smith
274,60,278,Peter Parkette
275,60,279,Dr. Cori Platt
276,60,280,Jennifer
277,61,284,Antoine
278,61,283,Laurent Lafaye
279,61,285,Dany
280,61,281,Loli
281,61,282,Marijo
282,62,286,Craig Jones
283,62,181,Smokey
284,62,287,Debbie
285,62,288,Deebo
286,62,289,Mr. Jones
287,63,290,Jacob Fuller
288,63,291,Seth Gecko
289,63,292,Kate Fuller
290,63,293,Richard Gecko
291,63,294,Scott Fuller
292,64,299,Emilio Juantorena
293,64,298,Lt. Meyerson
294,64,297,Col. Ilya Pavel Kazak
295,2400,5823,
296,64,295,Det. Max Kirkpatrick
297,64,296,Kate McQuean
298,65,300,Grover
299,65,301,Chet
300,65,302,Pete
301,65,303,Gail
302,65,304,Professor
303,66,305,Henri Fortin
304,66,306,André Ziman
305,66,307,Elise Ziman
306,66,308,La fille Ziman
307,66,309,Thénardière 1942
308,67,314,Randy
309,67,313,Danny
310,67,312,Kim
311,67,311,Lisa Walker
312,67,310,Lewis Farrell
313,68,315,Joe Hendricksson
314,68,316,Becker
315,68,317,Jessica Hanson
316,68,318,Ace Jefferson
317,68,319,Ross
318,69,323,Jojo
319,69,322,Mary
320,69,324,Helen Booth
321,69,320,Freddy Gale
322,69,321,John Booth
323,70,121,Annie
324,70,325,Teacher
325,70,326,Oliver
326,70,327,Eddie
327,70,250,Tallow
328,71,328,Razieh
329,71,329,Ali
330,71,330,Mother
331,71,331,Old Lady
332,71,332,Soldier
333,72,336,Franchise
334,72,335,Pieces
335,72,337,Easy Wind
336,72,333,Jimmy The Saint Tosnia
337,72,334,The Man with the Plan
338,73,338,Antonia
339,73,339,Boer Bas
340,73,340,Thérèse
341,73,341,Danielle
342,73,342,Allegonde
343,74,343,Poppa
344,74,344,Ma Ponk
345,74,345,Uncle Melvin
346,74,346,Ma Pearl
347,74,347,Miss Alice
348,75,352,Freddy
349,75,351,Suzanne
350,75,350,Jake Axelrod
351,75,348,Oona Hart
352,75,349,Helena Mora
353,76,353,William Adamson
354,76,246,Matty Crompton
355,76,354,Eugenia Alabaster Adamson
356,76,355,Sir Harald Alabaster
357,76,356,Edgar Alabaster
358,77,357,Sheldon Skipper
359,77,358,Dr. Alice Sheldon
360,77,359,McCrea
361,77,360,Chuck Gieg
362,77,361,Frank Beaumont
363,78,366,Brian Grant
364,78,365,Lord Rutledge
365,78,364,Kyle Grant
366,78,363,Mrs. Dubrow
367,78,362,Robert Grant
368,79,367,Mike Donnelly
369,79,368,Steve Dodds
370,79,369,Al Donnelly
371,79,370,Governor Tracy
372,79,371,Drake Sabitch
373,80,372,Gene Watson
374,80,334,Mr. Smith
375,80,373,Lynn Watson
376,80,173,Huey
377,80,374,Ms. Jones
378,81,379,Mrs. Kent
379,81,378,Marys Father
380,81,377,Mr. Poole
381,81,376,Dr. Henry Jekyll
382,81,375,Mary Reilly
383,82,380,Maximillian
384,82,17,Det. Rita Veder
385,82,381,Detective Justice
386,82,382,Julius Jones
387,82,289,Silas Green
388,83,195,Tommy Birdman Rowland
389,83,383,Willie Conway
390,83,384,Michael Mo Morris
391,83,385,Tracy Stover
392,83,386,Darian Smalls
393,84,91,Pritchett
394,84,388,Colonel Max Wilkins
395,84,100,Vic Deakins
396,84,310,Riley Hale
397,84,387,Terry Carmichael
398,85,389,Joe Harper 
399,86,390,Vinz
400,86,391,Hubert
401,86,392,Saïd
402,86,393,Abdel
403,86,394,Santo
404,87,398,Be Bop
405,87,397,Tommy
406,87,47,Venning
407,87,395,Jo
408,87,396,Billy
409,88,26,Mayor John Pappas
410,88,399,Deputy Mayor Kevin Calhoun
411,88,63,Marybeth Cogan
412,88,400,Frank Anselmo
413,88,401,Judge Walter Stern
414,89,402,Anthony Adams
415,89,403,Dignan
416,89,404,Dr. Nichols
417,89,405,Grace
418,89,406,Bernice
419,90,410,Curtis Avery
420,90,298,Stewart Gleick
421,90,407,David Krane
422,90,408,Martha Briggs
423,90,409,Don Bresler
424,91,411,Happy Gilmore
425,91,298,Shooter McGavin
426,91,412,Virginia Venit
427,91,413,Grandma
428,91,414,Chubbs
429,92,415,Robert Kincaid
430,92,416,Francesca Johnson
431,92,417,Carolyn Johnson
432,92,418,Michael Johnson
433,92,419,Richard Johnson
434,93,424,The Great Gonzo
435,93,422,Mrs. Bluveridge
436,93,423,Jim Hawkins
437,93,420,Long John Silver
438,93,421,Billy Bones
439,94,208,William Wallace
440,94,425,Princess Isabelle
441,94,426,Longshanks - King Edward I
442,94,427,Robert the Bruce
443,94,428,Young William
444,95,27,Travis Bickle
445,95,429,Iris
446,95,430,Betsy
447,95,431,Tom
448,95,432,Concession Girl
449,96,437,Tony
450,96,436,Uncle Bill
451,96,433,Keung
452,96,434,Elaine
453,96,435,Nancy
454,97,416,Carolyn Ryan
455,97,438,Ben Ryan
456,2400,5822,
457,97,439,Jacob Ryan
458,97,440,Judith Ryan
459,97,441,Panos Demeris
460,98,445,Jimmy MacNeil
461,98,444,Neil Currie
462,98,446,Angus MacNeil
463,98,442,Margaret MacNeil
464,98,443,Catherine MacNeil
465,99,447,Narration
466,99,448,Diary Readings
467,99,449,
468,99,450,
469,99,451,
470,100,452,Graham Young
471,100,453,Dr. Ernest Zeigler
472,100,454,Young Graham
473,100,455,Molly
474,100,456,Fred
475,101,461,Simon Ackerman
476,101,459,Bwick Elias
477,101,460,Jane Lindquist
478,101,457,Lucy Ackerman
479,101,458,Joe MacGonaughgill
480,102,333,Ruben Partida Martinez
481,102,462,Lou Perilli
482,102,463,Laura Martinez
483,102,464,Eddie Agopian
484,102,465,Mona Rowland-Downey
485,103,469,Tyler
486,103,380,Marcus
487,103,466,Jacqueline
488,103,467,Angela
489,103,468,Gerard
490,104,470,Woman in Blonde Wig
491,105,459,Mel Coplin
492,105,471,Nancy Coplin
493,105,472,Tina Kalb
494,105,473,Pearl Coplin
495,105,474,Ed Coplin
496,106,475,Bastian
497,106,476,Nicole
498,106,477,Slip
499,106,478,Mookie
500,106,479,Dog
501,107,370,Mom Dunlap
502,107,482,Alan Davenport
503,107,483,Ruby
504,107,480,Charlie Dunlap
505,107,481,Amy
506,108,484,Angela
507,108,485,Ellie
508,108,486,Mae
509,108,487,Andrew
510,108,488,Sleepwalker
511,109,491,Handy Paige
512,109,195,Terry Klout
513,109,489,Bernadette
514,109,218,Jack Kelly
515,109,490,Frank Bois
516,110,494,Bob Hargrove
517,110,493,Governor Edwards
518,110,408,Trina Gavin
519,110,492,David Corelli
520,110,219,Matt Gavin
521,111,498,Admiral Graham
522,111,495,Tom Dodge
523,111,386,Emily
524,111,496,Marty Pascal
525,111,497,Howard
526,112,500,Marcia McGrath
527,112,501,Bucky Terranova
528,112,499,Warren Justice
529,112,137,Tally Atwater
530,112,443,Joanna Kennelly
531,113,504,Val Goldman
532,113,503,Louise Keeley
533,113,502,Albert
534,113,6,Armand Goldman
535,113,97,Senator Keeley
536,114,505,Jack McMullen
537,114,506,Patrick McMullen
538,114,507,Barry
539,114,508,Susan
540,114,509,Audrey
541,115,512,Carjacker
542,115,511,Girl Decoy
543,115,513,Eddie Dominguez
544,115,510,Mike Lowrey
545,115,469,Marcus Burnett
546,116,514,Michael Tyler
547,116,515,Ryan Tyler
548,116,516,Ling
549,116,517,Chu
550,116,518,Po
551,117,519,Jim Carroll
552,117,520,Jims Mother
553,117,521,Chanting Woman
554,117,522,Pedro
555,117,523,Neutron
556,118,528,Bunny
557,118,526,Stella
558,118,527,Uncle Vernon
559,118,524,Meredith Potter
560,118,525,P.L. OHara
561,119,529,Isabelle
562,119,530,Thomas Ludens
563,119,531,Sofia Ludens
564,120,1,Jim Lovell
565,120,532,Fred Haise
566,120,61,Jack Swigert
567,120,533,Ken Mattingly
568,120,68,Gene Kranz
569,121,301,McDonald
570,121,535,Montrose
571,121,82,Cunningham
572,121,438,Rob Roy
573,121,534,Mary
574,122,536,Kathleen Conklin
575,122,334,Peina
576,122,537,Casanova
577,122,538,Jean
578,122,539,Professor
579,123,28,Batman
580,123,540,Harvey Two-Face
581,123,87,Riddler
582,123,194,Dr. Chase Meridian
583,123,541,Robin
584,124,546,Marcel
585,124,544,Henri Husson
586,124,545,Madame Anais
587,124,542,Séverine Serizy
588,124,543,Pierre Sérizy
589,125,290,Auggie Wren
590,125,547,Man with Strange Glasses
591,125,54,Pete Maloney
592,125,548,Dot
593,125,549,Violet
594,126,553,Stu Smiley
595,126,552,Honey
596,126,554,General Dick Panzer
597,126,550,Sheriff Bud Boomer
598,126,551,President of the United States
599,127,555,Dr. Harvey
600,127,120,Kat
601,127,556,Carrigan
602,127,557,Dibs
603,127,230,Nicky
604,128,290,Rocco Klein
605,128,558,Larry Mazilli
606,128,388,Rodney
607,128,559,Strike
608,128,560,Victor
609,129,563,Captain Monroe Kelly
610,129,562,Dr. Peter Elliot
611,129,564,Richard
612,129,561,Dr. Karen Ross
613,129,420,Herkermer Homolka
614,130,97,Ramsey
615,130,565,Hunter
616,130,566,Zimmer
617,130,138,Cob
618,130,567,Weps
619,2400,5824,
620,131,83,El Mariachi
621,131,568,Carolina
622,131,569,Bucho
623,131,570,Short Bartender
624,131,571,Buscemi
625,132,72,Matthew Terell
626,132,573,Mouse Alexander
627,132,572,Daphne Monet
628,132,565,Easy Rawlins
629,132,30,Dewitt Albright
630,133,142,John McClane
631,133,574,Simon
632,133,575,Zeus
633,133,576,Joe Lambert
634,133,577,Connie Kowalski
635,134,578,Jordan White
636,134,579,Amy Blue
637,134,580,Xavier Red
638,134,581,Peanut
639,134,582,Gang of Goons
640,135,585,Prince Malagant
641,135,586,Agravaine
642,135,584,Lancelot
643,135,583,King Arthur
644,135,32,Guinevere
645,136,475,Jesse
646,136,587,Glenn
647,136,588,Elvis
648,136,589,Nadine
649,136,590,Randolph
650,137,591,Dade
651,137,592,Kate
652,137,593,Joey
653,137,594,Cereal
654,137,595,Nikon
655,138,599,Man #3
656,138,597,Man #1
657,138,598,Man #2
658,138,59,Jeffrey
659,138,596,Steve Howard
660,139,600,Johnny Mnemonic
661,139,601,Street Preacher
662,139,602,Jane
663,139,603,J-Bone
664,139,604,Takahashi
665,140,107,Judge Dredd
666,140,605,Rico
667,140,496,Fergie
668,140,606,Judge Griffin
669,140,607,Judge Fargo
670,141,611,Judge Powell
671,141,610,Harry
672,141,272,Tommy Collins
673,141,608,Monica
674,141,609,Frank
675,142,612,Telly
676,142,613,Casper
677,142,614,Jennie
678,142,615,Girl #1
679,142,616,Deli Owner
680,143,618,Wanda
681,143,104,Wolf
682,143,619,Chad Palomino
683,143,571,Nick Reve
684,143,617,Nicole Springer
685,144,620,Harry DAmour
686,144,621,Philip Swann
687,144,622,Young Butterfield
688,144,623,Nix
689,144,624,Caspar Quaid
690,145,629,Jerri
691,145,625,David
692,145,626,Candy
693,145,627,Bernie
694,145,628,Benita
695,146,632,Coach
696,146,631,Duncan
697,146,594,Eric
698,146,630,Casey Roberts
699,146,541,Matt Leland
700,147,633,Rene
701,147,634,TS Quint
702,147,635,Brodie
703,147,636,Brandi
704,147,637,Shannon
705,148,641,Tommy
706,148,640,Rocky
707,148,642,Kimberly
708,148,638,Aisha
709,148,639,Adam
710,149,643,Billy Hughes
711,149,644,Karen Hughes
712,149,645,Andy Clarke
713,149,646,Larsen
714,149,647,Arkadi
715,150,531,Nadja
716,150,648,Dracula
717,150,649,Bar Victim
718,150,650,Renfield
719,150,530,Jim
720,151,653,Mrs. Bennett
721,151,652,Dr. Alan Champion
722,151,654,Imposter
723,151,267,Angela Bennett
724,151,651,Jack Devlin
725,152,524,Samuel Faulkner
726,152,108,Rebecca Taylor
727,152,655,Marty Dwyer
728,152,656,Gail Dwyer
729,152,114,Sean Fletcher
730,153,657,Mary
731,153,658,Mustafa
732,153,659,The Lady Bunny
733,153,660,Policeman
734,153,661,Derrick
735,154,567,Lucifer
736,154,301,Simon
737,154,663,Katherine
738,154,334,Gabriel
739,154,662,Thomas Dagget
740,155,664,Rachel
741,155,665,Tom
742,155,666,Female Reporter Re: Fire
743,155,667,Fireman
744,155,668,Anchor Person Re: Jogger
745,156,108,Carol
746,156,669,Greg
747,156,670,Mover
748,156,671,Aerobics Instructor
749,156,672,Barbara
750,157,676,Gov. John Bellingham
751,157,675,Mituba
752,157,673,Rev. Arthur Dimmesdale
753,157,121,Hester Prynne
754,157,674,Roger Chillingworth
755,158,677,Nomi Malone
756,158,678,Zack Carey
757,158,679,Cristal Connors
758,158,680,James Smith
759,158,681,Al Torres
760,159,290,Auggie Wren
761,159,682,Paul Benjamin
762,159,683,1st OTB Man
763,159,684,2nd OTB Man
764,160,687,Emma Rae King
765,160,686,Georgia King
766,160,375,Grace King Bichon
767,160,685,Eddie Bichon
768,160,674,Wyly King
769,161,688,Sil
770,161,587,Preston Lennox
771,161,689,Xavier Fitch
772,161,441,Dr. Stephen Arden
773,161,690,Dan Smithson
774,162,30,Max Peltier
775,162,292,Faith Justin
776,162,692,Philo Gant
777,162,691,Lenny Nero
778,162,17,Lornette Mace Mason
779,163,542,Geneviève Emery
780,163,693,Guy Foucher
781,163,694,Madame Emery
782,163,695,Roland Cassard
783,163,696,Madeleine
784,164,697,Leann Netherwood
785,164,698,John Netherwood
786,164,699,Dana Clifton
787,164,700,Russell Clifton
788,164,701,Janie
789,165,706,Phil
790,165,705,Gunny
791,165,703,Jeanne
792,165,702,Jack
793,165,704,Tom
794,166,519,Arthur Rimbaud
795,166,186,Paul Verlaine
796,166,707,Mathilde Maute
797,166,708,Isabelle Rimbaud
798,167,92,Noxeema
799,167,702,Vida
800,167,709,Chi-Chi
801,167,500,Carol Ann
802,167,710,Beatrice
803,168,715,Bobby Zachs
804,168,713,Marcus Penn
805,168,714,Sarah Ryback
806,168,711,Casey Ryback
807,168,712,Travis Dane
808,169,716,Selma Lidz
809,169,558,Sid Lidz
810,169,717,Danny Lidz
811,169,72,Arthur Lidz
812,169,718,Steven
813,170,721,Alberto Aragon
814,170,720,Don Pedro Aragon
815,170,722,Marie Jose Aragon
816,170,600,Paul Sutton
817,170,719,Victoria Aragon
818,171,723,Mariner
819,171,724,Helen
820,171,725,Deacon
821,171,726,Enola
822,171,727,Drifter
823,172,100,Louis Pinnock
824,172,728,Thaddeus Thomas
825,172,729,Marsha Pinnock
826,172,730,Megan Thomas
827,172,731,Stanley
828,173,118,Tom Gilbert
829,173,70,Frank Hunter
830,173,378,Dr. Frobisher
831,173,732,Andrew Crocker-Harris
832,173,733,Laura Crocker-Harris
833,174,734,Sergey
834,174,735,Marusya
835,174,736,Dmitriy
836,174,737,Nadya
837,174,738,Vsevolod Konstantinovich
838,175,739,Anne
839,175,740,Aleksander
840,175,741,Kiril
841,175,742,Father Marko
842,175,743,Petre
843,176,748,Guy on Bridge
844,176,747,Husband on Train
845,176,746,Wife on Train
846,176,744,Jesse
847,176,745,Céline
848,177,411,Billy Madison
849,177,749,Brian Madison
850,177,193,Veronica Vaughn
851,177,750,Eric Gordon
852,177,751,Principal Max Anderson
853,178,165,Jennifer
854,178,634,Jack
855,178,752,Harry Tucker
856,178,753,Dolly Tucker
857,178,754,Mark
858,179,758,Alex
859,179,757,Abe
860,179,630,Holly
861,179,756,Robin
862,179,755,Jane
863,180,704,Dexter
864,180,37,Erik
865,180,759,Tyler
866,180,760,Tylers Girlfriend
867,180,761,Tylers Girlfriend
868,181,765,Rebecca Reilly
869,181,764,Giorgio
870,181,766,Giannetti
871,181,762,John Reilly
872,181,763,Susan Reilly
873,182,541,Jack
874,182,767,Benny
875,182,768,Eve
876,182,769,Nan
877,182,770,Sean
878,183,771,Dante Hicks
879,183,772,Randal Graves
880,183,773,Veronica
881,183,774,Caitlin Bree
882,183,775,Jay
883,184,777,Doña Ana
884,184,363,Marilyn Mickler
885,184,778,Dr. Paul Showalter
886,184,372,Don Juan DeMarco
887,184,776,Dr. Jack Mickler
888,185,51,Tom Sanders
889,185,121,Meredith Johnson
890,185,779,Bob Garvin
891,185,358,Susan Hendler
892,185,374,Catherine Alvarez
893,186,92,Pete Nessip
894,186,371,Ty Moncrief
895,186,780,Jessie Crossman
896,186,781,Earl Leedy
897,186,782,Selkirk
898,187,784,Tuerto
899,187,619,Thoreau
900,187,293,Johnny Destiny
901,187,237,Julian Goddard
902,187,783,Lucille
903,188,102,Paulina Escobar
904,188,689,Dr. Roberto Miranda
905,188,785,Gerardo Escobar
906,188,786,Dr. Mirandas Wife
907,188,787,Dr. Mirandas Son
908,189,788,Dolores Claiborne
909,189,231,Selena St. George
910,189,789,Detective John Mackey
911,189,790,Vera Donovan
912,189,791,Joe St. George
913,190,793,J.P. Shay
914,190,271,Joe Mentalino
915,190,386,Mary
916,190,792,Harry
917,190,87,Lloyd
918,191,794,Chu
919,191,795,Jia-Jen
920,191,796,Jia-Ning
921,191,797,Jia-Chien
922,191,798,Jin-Rong
923,192,628,Christina
924,192,217,Thomas
925,192,800,Zoe
926,192,799,Francis
927,192,662,Eric
928,193,801,Lisa
929,193,802,Fred
930,193,122,Sheila
931,193,803,Elliot
932,193,804,Martin
933,194,372,Ed Wood
934,194,401,Bela Lugosi
935,194,457,Dolores Fuller
936,194,471,Kathy OHara
937,194,805,Criswell
938,195,807,Inspector Jean-Paul Cardon
939,195,383,Charlie
940,195,808,Bob
941,195,188,Kate
942,195,806,Luc Teyssier
943,196,809,Mickey
944,196,810,Ellen
945,196,501,Andy
946,196,811,Liz
947,196,812,Craig
948,197,593,Angus McCormick
949,197,813,Katherine McCormick
950,197,814,John McCormick
951,197,731,John Gale
952,197,815,Silas McCormick
953,198,819,P.J. Pete
954,198,818,Roxanne
955,198,64,Pete
956,198,816,Goofy
957,198,817,Max Goof
958,199,114,Hatch
959,199,483,Lindsey
960,199,165,Regina
961,199,361,Vassago
962,199,441,Jonas
963,200,70,Thomas P. Johnson
964,200,783,Carol Johnson
965,200,575,Rumbo
966,200,301,Jeff Newman
967,200,820,Brian Johnson
968,201,825,Countess Mauer
969,201,824,Margareth Hunter
970,201,823,Alexandra
971,201,822,Riccardo Broschi
972,201,821,Carlo Broschi 
973,202,826,Jinnie Sue McAllister
974,202,827,Luke McAllister
975,202,828,Gilbert Sipes
976,202,829,Jessica Royce
977,202,830,Cousin Jake
978,203,834,Watch Commander Clarence Massey
979,203,833,District Attorney Ira Kern
980,203,835,U.S. Marshall
981,203,831,Deputy J.J. Johnson
982,203,832,Deputy Deborah Fields
983,204,836,
984,204,837,
985,204,838,
986,204,839,
987,204,840,
988,205,841,Pauline Parker
989,205,78,Juliet Hulme
990,205,842,Honora Parker Rieper
991,205,843,Hilda Hulme
992,205,844,Dr. Henry Hulme
993,206,847,Johanna Reiss
994,206,846,Anna Marie Erdödy
995,206,848,Karl van Beethoven
996,206,673,Ludwig van Beethoven
997,206,845,Anton Felix Schindler
998,207,849,Pat Finley
999,207,850,Gerald Gerry Garner
1000,207,459,Tony Perkis
1001,207,851,Nicholas
1002,207,852,Sam
1003,208,853,Ed Walters
1004,208,188,Catherine Boyd
1005,208,11,Albert Einstein
1006,208,854,Kurt Gödel
1007,208,855,Boris Podolsky
1008,209,310,Malloy
1009,209,7,Claudia
1010,209,83,Armand
1011,209,144,Louis
1012,209,856,Lestat
1013,210,857,John
1014,210,858,Kamal
1015,210,462,Ernie Lazarro
1016,210,859,Don Uncle Freddy Frederico
1017,210,860,Micky Crump
1018,211,861,Dr. Alex Hesse
1019,211,99,Dr. Larry Arbogast
1020,211,77,Dr. Diana Reddin
1021,211,71,Noah Banes
1022,211,862,Angela
1023,212,68,Blair Sullivan
1024,212,865,Bobby Earl
1025,212,864,Laurie Prentiss Armstrong
1026,212,863,Sheriff Tanny Brown
1027,212,583,Paul Armstrong
1028,213,866,Calvin Fuller
1029,213,867,King Arthur
1030,213,868,Lord Belasco
1031,213,869,Princess Katey
1032,213,78,Princess Sarah
1033,214,870,Bev Kilmartin
1034,214,116,Little Junior Brown
1035,214,871,Rosie Kilmartin
1036,214,492,Jimmy Kilmartin
1037,214,575,Calvin Hart
1038,215,156,Mrs. March
1039,215,199,Jo March
1040,215,7,Younger Amy March
1041,215,872,Beth March
1042,215,218,Friedrich Bhaer
1043,216,873,Sara Crewe
1044,216,874,Miss Minchin
1045,216,586,Capt. Crewe
1046,216,875,Amelia Minchin
1047,216,876,Charles Randolph
